index,file_path,input_sample_rate,sample_rate,num_samples,resampled
35,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-07-00.json,44800,16000,187246,True
36,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-08-00.json,44800,16000,187246,True
37,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-09-00.json,44800,16000,187246,True
38,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-10-00.json,44800,16000,187246,True
39,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-11-00.json,44800,16000,187246,True
40,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-12-00.json,44800,16000,187246,True
41,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-13-00.json,44800,16000,187246,True
42,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-14-00.json,44800,16000,187246,True
43,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-15-00.json,44800,16000,187246,True
44,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-16-00.json,44800,16000,187246,True
45,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-17-00.json,44800,16000,187246,True
46,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-18-00.json,44800,16000,187246,True
47,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-19-00.json,44800,16000,187246,True
48,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-20-00.json,44800,16000,187246,True
49,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-21-00.json,44800,16000,187246,True
50,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-22-00.json,44800,16000,187246,True
51,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-23-00.json,44800,16000,187246,True
52,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-24-00.json,44800,16000,187246,True
53,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-25-00.json,44800,16000,187246,True
54,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-26-00.json,44800,16000,187246,True
55,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-27-00.json,44800,16000,187246,True
56,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-28-00.json,44800,16000,187246,True
57,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-29-00.json,44800,16000,187246,True
58,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-30-00.json,44800,16000,187246,True
59,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-31-00.json,44800,16000,187246,True
60,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-32-00.json,44800,16000,187246,True
61,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-33-00.json,44800,16000,187246,True
62,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-34-00.json,44800,16000,187246,True
63,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-35-00.json,44800,16000,187246,True
64,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-36-00.json,44800,16000,187246,True
65,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-37-00.json,44800,16000,187246,True
66,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-38-00.json,44800,16000,187246,True
67,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-39-00.json,44800,16000,187246,True
68,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-40-00.json,44800,16000,187246,True
69,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-41-00.json,44800,16000,187246,True
70,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-42-00.json,44800,16000,187246,True
71,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-43-00.json,44800,16000,187246,True
72,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-44-00.json,44800,16000,187246,True
73,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-45-00.json,44800,16000,187246,True
74,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-46-00.json,44800,16000,187246,True
75,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-47-00.json,44800,16000,187246,True
76,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-48-00.json,44800,16000,187246,True
77,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-49-00.json,44800,16000,187246,True
78,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-50-00.json,44800,16000,187246,True
79,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-51-00.json,44800,16000,187246,True
80,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-52-00.json,44800,16000,187246,True
81,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-53-00.json,44800,16000,187246,True
82,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-54-00.json,44800,16000,187246,True
83,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-55-00.json,44800,16000,187246,True
84,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-56-00.json,44800,16000,187246,True
85,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-57-00.json,44800,16000,187246,True
86,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-58-00.json,44800,16000,187246,True
87,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-59-00.json,44800,16000,187246,True
88,data\data_json\bearing\train\Sound_Z603V_2026-06-03_15-00-00.json,44800,16000,187246,True
89,data\data_json\bearing\train\Sound_Z603V_2026-06-03_15-01-00.json,44800,16000,187246,True
90,data\data_json\bearing\train\Sound_Z603V_2026-06-03_15-02-00.json,44800,16000,187246,True
91,data\data_json\bearing\train\Sound_Z603V_2026-06-03_15-03-00.json,44800,16000,187246,True
92,data\data_json\bearing\train\Sound_Z603V_2026-06-03_15-04-00.json,44800,16000,187246,True
93,data\data_json\bearing\train\Sound_Z603V_2026-06-03_15-05-00.json,44800,16000,187246,True
94,data\data_json\bearing\train\Sound_Z603V_2026-06-03_15-06-00.json,44800,16000,187246,True
95,data\data_json\bearing\train\Sound_Z603V_2026-06-03_15-07-00.json,44800,16000,187246,True
96,data\data_json\bearing\train\Sound_Z603V_2026-06-03_15-08-00.json,44800,16000,187246,True
97,data\data_json\bearing\train\Sound_Z603V_2026-06-03_15-09-00.json,44800,16000,187246,True
98,data\data_json\bearing\train\Sound_Z603V_2026-06-03_15-10-00.json,44800,16000,187246,True
99,data\data_json\bearing\train\Sound_Z603V_2026-06-03_15-11-00.json,44800,16000,187246,True
